true\pred,0,1,2,3,4,5,6,7,8,9
0,968,1,3,1,0,2,3,1,0,1
1,0,1126,3,1,0,0,3,0,1,1
2,9,8,979,8,1,0,3,11,12,1
3,0,0,7,946,1,25,0,6,18,7
4,1,6,2,0,922,0,10,4,3,34
5,3,1,0,22,1,850,7,1,3,4
6,10,3,2,0,3,4,932,0,3,1
7,0,20,8,0,4,0,0,962,2,32
8,5,1,3,11,3,18,1,6,919,7
9,4,6,4,4,30,5,1,19,5,931
